LineId,Time,Level,Content,EventId,EventTemplate
1,Sun Dec 04 04:47:44 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
2,Sun Dec 04 04:47:44 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
3,Sun Dec 04 04:51:08 2005,notice,jk2_init() Found child 6725 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>
4,Sun Dec 04 04:51:09 2005,notice,jk2_init() Found child 6726 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>
5,Sun Dec 04 04:51:09 2005,notice,jk2_init() Found child 6728 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>
6,Sun Dec 04 04:51:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
7,Sun Dec 04 04:51:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
8,Sun Dec 04 04:51:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
9,Sun Dec 04 04:51:18 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
10,Sun Dec 04 04:51:18 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
11,Sun Dec 04 04:51:18 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
12,Sun Dec 04 04:52:52 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
13,Sun Dec 04 04:51:37 2005,notice,jk2_init() Found child 6736 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>
14,Sun Dec 04 04:51:38 2005,notice,jk2_init() Found child 6733 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>
15,Sun Dec 04 04:51:38 2005,natice,jk2_init() Found child 6734 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>
16,Sun Dec 04 04:51:52 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
17,Sun Dec 04 04:51:52 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
18,Sun Dec 04 04:51:55 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
19,Sun Dec 04 04:52:04 2005,notice,jk2_init() Found child 6738 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>
20,Sun Dec 04 04:52:04 2005,notice,jk2_init() Found child 6741 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>
21,Sun Dec 04 04:52:05 2005,notice,jk2_init() Found child 6740 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>
22,Sun Dec 04 04:52:05 2005,notice,jk2_init() Found child 6737 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>
23,Sun Dec 04 04:52:12 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
24,Sun Dec 04 04:52:12 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
25,Sun Dec 04 04:52:12 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
26,Sun Dec 04 04:52:15 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
27,Sun Dec 04 04:52:15 2005,error,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>
28,Sun Dec 04 04:52:15 2005,error,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>
29,Sun Dec 04 04:52:36 2005,notice,jk2_init() Found child 6748 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>
30,Sun Dec 04 04:52:36 2005,notice,jk2_init() Found child 6744 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>
31,Sun Dec 04 04:52:36 2005,notice,jk2_init() Found child 6745 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>
32,Sun Dec 04 04:52:49 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
33,Sun Dec 04 04:52:49 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
34,Sun Dec 04 04:52:52 2005,error,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>
